id;numero_ano;objeto;valor_processo;status_processo;id_licitacao_fk;in_situacao;modalidade;regime_contratacao;data_publicacao;data_homologacao;processo_de_execucao;versao
1;Cocos (Keeling) Islands Awesome;USB alarm 1080p;65878;Philippine Peso pars;48942;mag;Argentine Peso Handcrafted Rubber Sausages Officer;Mississippi Product;2019-10-25;2019-10-25;card azure Frozen;42176
2;online program Refined Granite Gloves;quantifying Baby;59626;Organic Granite;7695;Tug;Kansas;Maldives bluetooth policy;2019-10-25;2019-10-25;e-commerce SSL web-readiness;46194
3;Supervisor Outdoors sky blue;Factors primary;99793;proactive;76718;int;Plaza Utah;Coordinator;2019-10-24;2019-10-25;killer Russian Federation;73227
4;Music;B2C systematic;29630;Persevering Gorgeous;42777;dis;Concrete Usability neural;Generic;2019-10-25;2019-10-24;XSS Investment Account Investor;98918
5;parse;Intuitive;94273;deposit Auto Loan Ac;23066;Shi;Electronics;neural wireless Generic Frozen Bike;2019-10-24;2019-10-25;Personal Loan Account Chile foreground;51524
6;Buckinghamshire Liaison Forward;Pre-emptive Reduced;53697;Personal Loan Accoun;58008;Pra;Tunnel;Configuration;2019-10-24;2019-10-25;monitoring Infrastructure bandwidth;28139
7;Implemented Computers;protocol Borders Tasty;22018;Bond Markets Units E;7613;bac;Internal Louisiana;Ouguiya Utah;2019-10-25;2019-10-24;Seychelles SMTP Synchronised;15734
8;Fish next-generation Quality-focused;Brunei Dollar Credit Card Account override;15860;XSS RSS Outdoors;82581;Fre;Reduced Corporate;connecting;2019-10-24;2019-10-24;Adaptive black;8409
9;website New York;exuding;63400;Solomon Islands;77984;Gor;Beauty web services copying;deposit Mobility;2019-10-25;2019-10-24;Chicken bypass Paradigm;16637
10;bypass hard drive Hollow;Checking Account;4574;JBOD Technician Arch;74965;Rub;Small Fresh Gloves;Buckinghamshire compress;2019-10-25;2019-10-25;Ball Wells;94430
