id;tx_descricao;in_tipo_anexo;dt_upload;id_cpf_enviado_por;nome_enviado_por;in_perfil_usuario;nm_arquivo;caminho;bucket;versao
1;modular Refined Squares;maroon;2019-10-24;Ghana back-;Direct;Profit-foc;Jewelery cutting-edge;Games;Iraq Bedfordshire;69243
2;encompassing;Directives;2019-10-25;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckingham;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093
3;Way Dominican Republic;Bulgarian Lev navigate;2019-10-25;transmitter;Point Orchestrator;Solomon Is;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617
4;Quality;synthesize Creative;2019-10-25;bricks-and-;Fiji Dollar Profound Bacon;Macao Equa;Agent;Human deposit;even-keeled Saint Helena ;84666
5;SCSI drive THX;Unbranded Cheese Dynamic;2019-10-25;Tools Unbra;Supervisor clear-thinking;Latvia;Ports Manager Fish;Networked;Fish;36646
6;program alarm;Nevada;2019-10-25;turn-key de;Wisconsin;target Hum;dot-com payment Libyan Dinar;white sensor local;calculate;4360
7;Representative;Response Human;2019-10-25;Automotive ;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Z;35864
8;Open-architected;FTP;2019-10-24;Belize Doll;protocol;open-sourc;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pa;57886
9;interfaces;Garden Dale Wallis and Futuna;2019-10-25;Utah Comput;Brunei Darussalam interface;compress l;backing up;Iran;Philippine Peso Metal;13274
10;Analyst card Licensed Cotton B;mindshare Gorgeous;2019-10-25;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pa;15864
