id;tx_descricao;in_tipo_anexo;dt_upload;id_cpf_enviado_por;nome_enviado_por;in_perfil_usuario;nm_arquivo;caminho;bucket;versao;adt_login;adt_data_hora;adt_operacao
1;Quality;synthesize Creative;2019-10-29;bricks-and-;Fiji Dollar Profound Bacon;Macao Equa;Agent;Human deposit;even-keeled Saint Helena ;84666;SCSI drive THX;2019-10-28;Market
2;Dynamic Home Loan Account Tool;Branding;2019-10-28;clear-think;Latvia;Ports Mana;Networked;Fish;payment calculating;65761;Nevada;2019-10-29;turn-k
3;Wisconsin;target Human withdrawal;2019-10-28;Borders Nor;CSS Re-contextualized;local Shoe;Intelligent Frozen Sausages Villages;Human;back up Factors;33075;Venezuela Wisconsin;2019-10-28;Incred
4;infrastructure;mesh;2019-10-29;calculating;Director Concrete Bedfordshire;portal cal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;79829;deposit;2019-10-28;auxili
5;Tools California;North Dakota Garden;2019-10-29;Wallis and ;generating;Computers ;interface;compress lavender Investment Account;backing up;19438;relationships Philippine Peso;2019-10-29;Frozen
6;redundant;content;2019-10-28;Ameliorated;Brand;infomediar;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;61172;paradigms Organic strategic;2019-10-28;Garden
7;Small;Incredible Fresh Chips;2019-10-28;Bridge;connect;Hollow Sho;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshi;53937;Chilean Peso Unidades de fomento Checking Account;2019-10-28;Soluti
8;Data North Dakota;North Carolina Granite;2019-10-28;parsing Inv;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;11816;Rupiah Personal Loan Account HTTP;2019-10-28;mobile
9;deliverables;multi-byte Producer;2019-10-29;incentivize;Louisiana JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;9998;Small Frozen Salad bypassing;2019-10-29;Usabil
10;Applications Missouri deposit;Gorgeous Money Market Account;2019-10-29;ivory Data ;Unbranded;Associate ;mindshare;Guam bandwidth Liaison;program Auto Loan Account;8410;Algerian Dinar Fantastic Fresh Salad;2019-10-28;Sleek
